Subject Block Trial Dot_Coherence Sound_Direction Target_Location Response Response_Correct
02 10 28 +1.00 -1 -1 -1 1
02 10 29 +0.00 +0 -1 +1 1
02 10 30 +0.00 +1 +1 +1 1
02 10 31 +0.32 -1 -1 -1 1
02 10 32 +0.10 +0 -1 -1 1
02 10 33 +0.10 -1 -1 -1 1
02 10 34 +0.32 +1 -1 -1 1
02 10 35 +0.32 +0 +1 +1 1
02 10 36 +0.56 -1 +1 +1 1
02 10 37 +1.00 +0 -1 -1 1
02 10 38 +0.75 +0 +1 +1 1
02 10 39 +0.13 -1 -1 -1 1
02 10 40 +0.10 +1 +1 -1 0
02 10 41 +0.75 +1 +1 +1 1
02 10 42 +0.13 +0 +1 +1 1
02 10 43 +0.42 +1 +1 +1 1
02 10 44 +0.18 -1 +1 +1 1
02 10 45 +1.00 +0 +1 +1 1
02 10 46 +0.24 +1 +1 -1 0
02 10 47 +0.13 +1 +1 -1 0
02 10 48 +0.24 +0 -1 -1 1
02 10 49 +0.75 +0 -1 -1 1
02 10 50 +0.32 +1 +1 +1 1
02 10 51 +0.42 +0 +1 +1 1
02 10 52 +0.10 +0 +1 +1 1
02 10 53 +0.56 +0 -1 -1 1
02 10 54 +0.56 +1 +1 +1 1
02 10 55 +0.13 +1 -1 -1 1
02 10 56 +0.42 -1 +1 +1 1
02 10 57 +0.75 -1 +1 +1 1
02 10 58 +0.75 -1 -1 -1 1
02 10 59 +0.00 +0 +1 +1 0
02 10 60 +1.00 +1 -1 -1 1
